
Clock type: CPU
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg      
..po.py:47 PPO._collect_trajectories  1      0.114847  17.73016  17.73016
..py:34 ActorCritic.action_and_value  262    0.015537  9.092446  0.034704
.. RailTranformer._wrapped_call_impl  288..  0.294263  8.743924  0.000303
...py:1740 RailTranformer._call_impl  288..  0.446714  8.737147  0.000303
..ormer.py:65 RailTranformer.forward  525    0.168702  8.719958  0.016609
...py:384 TransformerEncoder.forward  525    0.075274  6.817543  0.012986
..50 TransformerEncoderLayer.forward  1575   0.227916  6.516494  0.004137
../envs/rail_env.py:503 RailEnv.step  260    0.215554  5.632775  0.021665
..tor_critic.py:25 ActorCritic.value  263    0.027005  4.395198  0.016712
..wrapper.py:47 RailEnvWrapper.reset  4      0.000237  4.161065  1.040266
..envs/rail_env.py:261 RailEnv.reset  4      0.001001  4.084585  1.021146
..ent_learning/ppo.py:159 PPO._train  1      0.012246  3.776014  3.776014
..v.py:660 RailEnv._get_observations  264    0.006169  3.771324  0.014285
..ee_obs.py:160 FastTreeObs.get_many  264    0.010445  3.762759  0.014253
.. TransformerEncoderLayer._sa_block  1575   0.056835  3.307252  0.002100
..ators.py:42 SparseRailGen.__call__  4      0.000276  2.959722  0.739931
..tors.py:147 SparseRailGen.generate  4      0.000613  2.959446  0.739862
..py:1134 MultiheadAttention.forward  1575   0.178591  2.801214  0.001779
.. DeadLockAvoidanceAgent.start_step  264    0.004120  2.794983  0.010587
..anceAgent.shortest_distance_mapper  264    0.020205  2.494238  0.009448
..:5868 multi_head_attention_forward  1575   0.247613  2.469827  0.001568
..rtestDistanceWalker.walk_to_target  1238   0.302436  2.432618  0.001965
.. TransformerEncoderLayer._ff_block  1575   0.102635  2.391798  0.001519
..dules/linear.py:124 Linear.forward  7875   0.145025  1.959783  0.000249
..rch/_tensor.py:525 Tensor.backward  12     0.000351  1.737548  0.144796
../autograd/__init__.py:242 backward  12     0.000586  1.737138  0.144762
../graph.py:816 _engine_run_backward  12     0.000407  1.732616  0.144385
..:466 SparseRailGen._connect_cities  4      0.001524  1.599494  0.399873
..ils.py:18 connect_rail_in_grid_map  24     0.011675  1.594157  0.066423
..core/grid/grid4_astar.py:50 a_star  24     0.412363  1.571819  0.065492
..oidanceShortestDistanceWalker.walk  40961  0.677638  1.350526  0.000033
..ontainer.py:248 Sequential.forward  4200   0.100177  1.330076  0.000317
..663 SparseRailGen._fix_transitions  4      0.011818  1.210751  0.302688
..ransitionMap.cell_neighbours_valid  1194   0.257880  1.031388  0.000864
..ules/dropout.py:69 Dropout.forward  4725   0.046018  1.015017  0.000215
..orch/nn/functional.py:1401 dropout  4725   0.118324  0.968999  0.000205
..onal.py:5463 _in_projection_packed  1575   0.133669  0.901558  0.000572
..builder.py:35 FastTreeObs.get_many  264    0.007514  0.887927  0.003363
..st_tree_obs.py:168 FastTreeObs.get  1320   0.133016  0.880413  0.000667
..nceShortestDistanceWalker.callback  40084  0.519802  0.807943  0.000020
...py:183 MotionCheck.find_conflicts  260    0.029624  0.698576  0.002687
..ree_obs.py:74 FastTreeObs._explore  330..  0.287970  0.633618  0.000192
..distance_map.py:27 DistanceMap.get  49409  0.134947  0.534114  0.000011
..st_paths.py:208 get_shortest_paths  32     0.000395  0.526490  0.016453
..hs.py:234 _shortest_path_for_agent  48     0.034940  0.526096  0.010960
..alization.py:216 LayerNorm.forward  3675   0.075639  0.485404  0.000132
..nerators.py:21 timetable_generator  4      0.000978  0.479577  0.119894
..nsitionMap.validate_new_transition  7959   0.223916  0.477638  0.000060
..t_tree_obs.py:66 FastTreeObs.reset  4      0.000119  0.474951  0.118738
../optim/lr_scheduler.py:133 wrapper  6      0.000154  0.446155  0.074359
..rch/optim/optimizer.py:467 wrapper  6      0.000717  0.446001  0.074333
..tim/optimizer.py:72 Adam._use_grad  6      0.000617  0.441855  0.073643
../torch/optim/adam.py:189 Adam.step  6      0.000279  0.440804  0.073467
..:9 AgentCanChooseHelper.build_data  4      0.000123  0.431441  0.107860
..nd_all_cell_where_agent_can_choose  4      0.000099  0.431318  0.107830
..eShortestDistanceWalker.get_action  5099   0.035068  0.417684  0.000082
..y/core/fromnumeric.py:51 _wrapfunc  8297   0.084218  0.412363  0.000050
..nce_map.py:57 DistanceMap._compute  4      0.001181  0.399166  0.099792
..3 DistanceMap._distance_map_walker  11     0.110829  0.397071  0.036097
..rray_function__ internals>:177 any  7260   0.064562  0.388767  0.000054
..im/optimizer.py:140 maybe_fallback  6      0.000139  0.382974  0.063829
..kages/torch/optim/adam.py:717 adam  6      0.000182  0.382703  0.063784
..y_function__ internals>:177 argmin  5099   0.050889  0.382616  0.000075
